y= 1.5	n= 0	scale= 1e+09	conc= 2e-32
92.7632	99	69	1
92.7632	99	23	0
93.258	99	23	1
93.258	99	46	0
93.5823	99	46	1
93.5823	99	134	0
93.7814	99	134	1
93.7814	99	150	0
94.1105	99	150	1
94.1105	99	163	0
94.3255	99	163	1
94.3255	99	33	0
94.355	99	33	1
94.355	99	38	0
95.0076	99	38	1
95.0076	99	116	0
95.3455	99	116	1
95.3455	99	156	0
96.7245	99	156	1
96.7245	99	155	0
97.1865	99	155	1
97.1865	99	41	0
97.4505	99	41	1
97.4505	99	155	0
97.5047	99	155	1
97.5047	99	162	0
98.3311	99	162	1
98.3311	99	104	0
98.7996	99	104	1
98.7996	99	135	0
99.0836	99	135	1
99.0836	99	129	0
99.1219	99	129	1
99.1219	99	147	0
99.1865	99	147	1
99.1865	99	90	0
99.746	99	90	1
99.746	99	17	0
99.8046	99	17	1
99.8046	99	68	0
99.9104	99	68	1
99.9104	99	61	0
100.346	99	61	1
100.346	99	9	0
100.801	99	9	1
100.801	99	128	0
101.038	99	128	1
101.038	99	59	0
101.587	99	59	1
101.587	99	164	0
101.875	99	164	1
101.875	99	8	0
101.92	99	8	1
101.92	99	87	0
102.179	99	87	1
102.179	99	6	0
102.448	99	6	1
102.448	99	58	0
102.766	99	58	1
102.766	99	113	0
103.387	99	113	1
103.387	99	153	0
103.574	99	153	1
103.574	99	14	0
103.804	99	14	1
103.804	99	39	0
103.897	99	39	1
103.897	99	12	0
104.214	99	12	1
104.214	99	80	0
104.23	99	80	1
104.23	99	147	0
104.301	99	147	1
104.301	99	83	0
104.895	99	83	1
104.895	99	41	0
104.996	99	41	1
104.996	99	74	0
105.593	99	74	1
105.593	99	112	0
105.633	99	112	1
105.633	99	164	0
105.946	99	164	1
105.946	99	13	0
106.048	99	13	1
106.048	99	114	0
106.172	99	114	1
106.172	99	141	0
106.833	99	141	1
106.833	99	44	0
107.102	99	44	1
107.102	99	158	0
107.579	99	158	1
107.579	99	80	0
107.651	99	80	1
107.651	99	122	0
108.05	99	122	1
108.05	99	10	0
108.609	99	10	1
108.609	99	27	0
109.357	99	27	1
109.357	99	64	0
109.585	99	64	1
109.585	99	15	0
109.708	99	15	1
109.708	99	113	0
109.758	99	113	1
109.758	99	106	0
109.871	99	106	1
109.871	99	31	0
109.943	99	31	1
109.943	99	112	0
110.523	99	112	1
110.523	99	112	0
110.94	99	112	1
110.94	99	101	0
110.972	99	101	1
110.972	99	108	0
111.578	99	108	1
111.578	99	51	0
111.604	99	51	1
111.604	99	0	0
111.618	99	0	1
111.618	99	9	0
111.924	99	9	1
111.924	99	94	0
112.234	99	94	1
112.234	99	15	0
112.262	99	15	1
112.262	99	80	0
113.735	99	80	1
113.735	99	134	0
113.85	99	134	1
113.85	99	18	0
114.446	99	18	1
114.446	99	127	0
114.646	99	127	1
114.646	99	126	0
114.792	99	126	1
114.792	99	35	0
114.802	99	35	1
114.802	99	34	0
115.344	99	34	1
115.344	99	147	0
115.46	99	147	1
115.46	99	77	0
115.968	99	77	1
115.968	99	112	0
116.027	99	112	1
116.027	99	123	0
116.124	99	123	1
116.124	99	69	0
116.292	99	69	1
116.292	99	113	0
116.575	99	113	1
116.575	99	164	0
116.799	99	164	1
116.799	99	107	0
117.238	99	107	1
117.238	99	27	0
117.565	99	27	1
117.565	99	151	0
118.131	99	151	1
118.131	99	122	0
118.205	99	122	1
118.205	99	135	0
118.27	99	135	1
118.27	99	137	0
119.017	99	137	1
119.017	99	71	0
119.668	99	71	1
119.668	99	96	0
119.794	99	96	1
119.794	99	59	0
120.079	98	59	1
120.079	98	128	0
120.286	98	128	1
120.286	98	69	0
120.35	98	69	1
120.35	98	6	0
120.427	98	6	1
120.427	98	61	0
120.454	98	61	1
120.454	98	82	0
120.631	98	82	1
120.631	98	4	0
120.856	98	4	1
120.856	98	33	0
121.016	98	33	1
121.016	98	111	0
121.256	98	111	1
121.256	98	4	0
121.311	98	4	1
121.311	98	127	0
121.357	98	127	1
121.357	98	105	0
121.507	98	105	1
121.507	98	4	0
121.639	98	4	1
121.639	98	11	0
121.643	98	11	1
121.643	98	128	0
122.134	98	128	1
122.134	98	38	0
122.48	98	38	1
122.48	98	104	0
122.643	98	104	1
122.643	98	118	0
123.178	98	118	1
123.178	98	134	0
123.185	98	134	1
123.185	98	90	0
123.381	98	90	1
123.381	98	66	0
123.959	98	66	1
123.959	98	154	0
125.134	98	154	1
125.134	98	76	0
125.376	98	76	1
125.376	98	85	0
125.487	98	85	1
125.487	98	52	0
125.69	98	52	1
125.69	98	133	0
126.374	98	133	1
126.374	98	127	0
126.406	98	127	1
126.406	98	129	0
126.509	98	129	1
126.509	98	122	0
126.609	98	122	1
126.609	98	144	0
126.776	98	144	1
126.776	98	79	0
127.095	98	79	1
127.095	98	29	0
127.238	98	29	1
127.238	98	123	0
128.153	98	123	1
128.153	98	28	0
128.224	98	28	1
128.224	98	97	0
128.339	98	97	1
128.339	98	148	0
128.86	98	148	1
128.86	98	108	0
129.076	98	108	1
129.076	98	3	0
129.217	98	3	1
129.217	98	111	0
130.167	98	111	1
130.167	98	57	0
130.203	98	57	1
130.203	98	93	0
130.314	98	93	1
130.314	98	125	0
130.818	98	125	1
130.818	98	16	0
131.175	98	16	1
131.175	98	101	0
131.445	98	101	1
131.445	98	128	0
131.918	98	128	1
131.918	98	40	0
132.149	98	40	1
132.149	98	34	0
132.688	98	34	1
132.688	98	8	0
132.925	98	8	1
132.925	98	70	0
133.105	98	70	1
133.105	98	100	0
133.305	98	100	1
133.305	98	21	0
133.572	98	21	1
133.572	98	64	0
135.114	98	64	1
135.114	98	40	0
135.172	98	40	1
135.172	98	109	0
136.117	98	109	1
136.117	98	127	0
137.351	98	127	1
137.351	98	129	0
137.442	98	129	1
137.442	98	79	0
137.635	98	79	1
137.635	98	152	0
137.828	98	152	1
137.828	98	34	0
138.058	98	34	1
138.058	98	53	0
138.264	98	53	1
138.264	98	151	0
138.993	98	151	1
138.993	98	75	0
139.371	98	75	1
139.371	98	44	0
139.644	98	44	1
139.644	98	37	0
139.675	98	37	1
139.675	98	162	0
139.781	98	162	1
139.781	98	43	0
140.237	98	43	1
140.237	98	127	0
140.248	98	127	1
140.248	98	33	0
140.484	98	33	1
140.484	98	112	0
140.584	98	112	1
140.584	98	84	0
140.925	98	84	1
140.925	98	129	0
141.331	98	129	1
141.331	98	49	0
141.764	98	49	1
141.764	98	35	0
141.854	98	35	1
141.854	98	152	0
141.955	98	152	1
141.955	98	37	0
142.093	98	37	1
142.093	98	58	0
142.907	98	58	1
142.907	98	97	0
143.138	98	97	1
143.138	98	153	0
143.492	98	153	1
143.492	98	71	0
143.732	98	71	1
143.732	98	62	0
144.018	98	62	1
144.018	98	100	0
144.065	98	100	1
144.065	98	77	0
144.253	98	77	1
144.253	98	123	0
144.285	98	123	1
144.285	98	127	0
144.84	98	127	1
144.84	98	105	0
144.978	98	105	1
144.978	98	135	0
145.603	98	135	1
145.603	98	101	0
146.406	98	101	1
146.406	98	162	0
146.411	98	162	1
146.411	98	23	0
146.792	98	23	1
146.792	98	79	0
146.989	98	79	1
146.989	98	31	0
147.147	98	31	1
147.147	98	138	0
147.211	98	138	1
147.211	98	134	0
147.911	98	134	1
147.911	98	12	0
148.523	98	12	1
148.523	98	71	0
148.616	98	71	1
148.616	98	53	0
148.663	98	53	1
148.663	98	49	0
148.707	98	49	1
148.707	98	133	0
148.744	98	133	1
148.744	98	104	0
148.947	98	104	1
148.947	98	1	0
149.032	98	1	1
149.032	98	53	0
149.033	98	53	1
149.033	98	32	0
149.647	98	32	1
149.647	98	151	0
151.313	98	151	1
151.313	98	68	0
151.606	98	68	1
151.606	98	115	0
152.076	98	115	1
152.076	98	96	0
152.397	98	96	1
152.397	98	47	0
153.107	98	47	1
153.107	98	147	0
153.397	98	147	1
153.397	98	105	0
153.614	98	105	1
153.614	98	8	0
154.03	98	8	1
154.03	98	107	0
154.379	98	107	1
154.379	98	39	0
154.679	98	39	1
154.679	98	10	0
154.715	98	10	1
154.715	98	146	0
155.518	98	146	1
155.518	98	123	0
156.187	98	123	1
156.187	98	79	0
156.595	98	79	1
156.595	98	63	0
156.929	98	63	1
156.929	98	122	0
157.628	98	122	1
157.628	98	113	0
158.325	98	113	1
158.325	98	125	0
159.635	98	125	1
159.635	98	11	0
159.757	98	11	1
159.757	98	144	0
159.943	98	144	1
159.943	98	141	0
160.025	98	141	1
160.025	98	45	0
160.36	98	45	1
160.36	98	161	0
160.881	98	161	1
160.881	98	58	0
161.286	98	58	1
161.286	98	93	0
161.616	98	93	1
161.616	98	90	0
161.878	98	90	1
161.878	98	64	0
161.988	98	64	1
161.988	98	107	0
163.322	98	107	1
163.322	98	115	0
163.96	98	115	1
163.96	98	17	0
164.574	98	17	1
164.574	98	52	0
164.808	98	52	1
164.808	98	111	0
164.973	98	111	1
164.973	98	120	0
165.131	98	120	1
165.131	98	69	0
165.252	98	69	1
165.252	98	1	0
165.697	98	1	1
165.697	98	153	0
166.071	98	153	1
166.071	98	6	0
166.237	98	6	1
166.237	98	23	0
167.218	98	23	1
167.218	98	99	0
167.844	98	99	1
167.844	98	86	0
168.493	98	86	1
168.493	98	5	0
168.575	98	5	1
168.575	98	118	0
169.026	98	118	1
169.026	98	30	0
169.112	98	30	1
169.112	98	24	0
169.366	98	24	1
169.366	98	105	0
169.47	98	105	1
169.47	98	36	0
169.632	98	36	1
169.632	98	132	0
169.87	98	132	1
169.87	98	7	0
170.63	98	7	1
170.63	98	73	0
170.897	98	73	1
170.897	98	71	0
171.095	98	71	1
171.095	98	83	0
171.253	98	83	1
171.253	98	15	0
171.508	98	15	1
171.508	98	150	0
171.565	98	150	1
171.565	98	57	0
171.914	98	57	1
171.914	98	43	0
171.914	98	43	1
171.914	98	80	0
172.821	98	80	1
172.821	98	162	0
173.027	98	162	1
173.027	98	162	0
173.13	98	162	1
173.13	98	160	0
173.135	98	160	1
173.135	98	83	0
173.193	98	83	1
173.193	98	109	0
173.377	98	109	1
173.377	98	15	0
173.732	98	15	1
173.732	98	12	0
174.299	98	12	1
174.299	98	33	0
174.691	98	33	1
174.691	98	97	0
174.844	98	97	1
174.844	98	82	0
174.992	98	82	1
174.992	98	95	0
175.009	98	95	1
175.009	98	9	0
175.756	98	9	1
175.756	98	19	0
176.21	98	19	1
176.21	98	152	0
176.332	98	152	1
176.332	98	164	0
176.584	98	164	1
176.584	98	94	0
176.754	98	94	1
176.754	98	0	0
177.057	98	0	1
177.057	98	110	0
177.73	98	110	1
177.73	98	117	0
177.976	98	117	1
177.976	98	84	0
178.347	98	84	1
178.347	98	62	0
178.598	98	62	1
178.598	98	90	0
178.915	98	90	1
178.915	98	75	0
179.418	98	75	1
179.418	98	113	0
179.839	98	113	1
179.839	98	164	0
180.226	97	164	1
180.226	97	78	0
180.388	97	78	1
180.388	97	35	0
180.393	97	35	1
