seed= 999
cool_rate[s/K]= 60
y= 2.5
n= 2
scale= 1e+09
conc= 2e-32
salt= -0.944
53.7235	100	44	0
54.1701	100	44	1
54.1701	100	23	0
54.5846	100	23	1
54.5846	100	109	0
54.799	100	109	1
54.799	100	3	0
55.1223	100	3	1
55.1223	100	49	0
55.3352	100	49	1
55.3352	100	46	0
55.4987	100	46	1
55.4987	100	94	0
55.7038	100	94	1
55.7038	100	21	0
55.7887	100	21	1
55.7887	100	3	0
56.5522	100	3	1
56.5522	100	89	0
56.9707	100	89	1
56.9707	100	91	0
57.191	100	91	1
57.191	100	0	0
57.2433	100	0	1
57.2433	100	52	0
57.2572	100	52	1
57.2572	100	155	0
57.3341	100	155	1
57.3341	100	61	0
57.8186	100	61	1
57.8186	100	28	0
58.0601	100	28	1
58.0601	100	15	0
58.0901	100	15	1
58.0901	100	129	0
58.3717	100	129	1
58.3717	100	32	0
58.423	100	32	1
58.423	100	147	0
58.6637	100	147	1
58.6637	100	64	0
58.7925	100	64	1
58.7925	100	115	0
59.0746	100	115	1
59.0746	100	163	0
59.1585	100	163	1
59.1585	100	65	0
59.3894	100	65	1
59.3894	100	164	0
59.7292	100	164	1
59.7292	100	148	0
59.7499	100	148	1
59.7499	100	76	0
59.9397	100	76	1
59.9397	100	82	0
60.0111	99	82	1
60.0111	99	136	0
60.107	99	136	1
60.107	99	134	0
60.1489	99	134	1
60.1489	99	20	0
60.2121	99	20	1
60.2121	99	66	0
60.5662	99	66	1
60.5662	99	82	0
60.8376	99	82	1
60.8376	99	58	0
61.3199	99	58	1
61.3199	99	81	0
61.5395	99	81	1
61.5395	99	57	0
61.5541	99	57	1
61.5541	99	0	0
61.5593	99	0	1
61.5593	99	12	0
61.7489	99	12	1
61.7489	99	120	0
61.8223	99	120	1
61.8223	99	156	0
62.7535	99	156	1
62.7535	99	66	0
63.1665	99	66	1
63.1665	99	22	0
63.1685	99	22	1
63.1685	99	117	0
63.1685	99	117	1
63.1685	99	144	0
64.0939	99	144	1
64.0939	99	50	0
64.0986	99	50	1
64.0986	99	137	0
64.1633	99	137	1
64.1633	99	83	0
64.4999	99	83	1
64.4999	99	43	0
65.4446	99	43	1
65.4446	99	82	0
65.5963	99	82	1
65.5963	99	92	0
65.8479	99	92	1
65.8479	99	47	0
66.1887	99	47	1
66.1887	99	1	0
67.1639	99	1	1
67.1639	99	146	0
67.3762	99	146	1
67.3762	99	28	0
67.4597	99	28	1
67.4597	99	120	0
67.5321	99	120	1
67.5321	99	136	0
67.6568	99	136	1
67.6568	99	153	0
68.3184	99	153	1
68.3184	99	136	0
68.5181	99	136	1
68.5181	99	1	0
68.722	99	1	1
68.722	99	165	0
69.1971	99	165	1
69.1971	99	94	0
69.2387	99	94	1
69.2387	99	20	0
69.2606	99	20	1
69.2606	99	126	0
69.2891	99	126	1
69.2891	99	138	0
69.4879	99	138	1
69.4879	99	159	0
70.3272	99	159	1
70.3272	99	113	0
70.4681	99	113	1
70.4681	99	17	0
70.6352	99	17	1
70.6352	99	104	0
71.1035	99	104	1
71.1035	99	2	0
71.2013	99	2	1
71.2013	99	159	0
71.7816	99	159	1
71.7816	99	149	0
72.0744	99	149	1
72.0744	99	73	0
72.2087	99	73	1
72.2087	99	122	0
72.2976	99	122	1
72.2976	99	136	0
72.6233	99	136	1
72.6233	99	5	0
72.7008	99	5	1
72.7008	99	131	0
73.2607	99	131	1
73.2607	99	21	0
73.518	99	21	1
73.518	99	122	0
73.6452	99	122	1
73.6452	99	121	0
73.7044	99	121	1
73.7044	99	33	0
73.8482	99	33	1
73.8482	99	106	0
74.207	99	106	1
74.207	99	48	0
74.3702	99	48	1
74.3702	99	125	0
75.5772	99	125	1
75.5772	99	63	0
75.594	99	63	1
75.594	99	148	0
75.7509	99	148	1
75.7509	99	137	0
75.7707	99	137	1
75.7707	99	37	0
75.7866	99	37	1
75.7866	99	131	0
76.0818	99	131	1
76.0818	99	48	0
76.0912	99	48	1
76.0912	99	0	0
76.1253	99	0	1
76.1253	99	161	0
76.3192	99	161	1
76.3192	99	105	0
77.3647	99	105	1
77.3647	99	20	0
77.853	99	20	1
77.853	99	16	0
77.8716	99	16	1
77.8716	99	155	0
77.8769	99	155	1
77.8769	99	118	0
78.1722	99	118	1
78.1722	99	95	0
78.3223	99	95	1
78.3223	99	92	0
78.3792	99	92	1
78.3792	99	91	0
79.3925	99	91	1
79.3925	99	147	0
79.6075	99	147	1
79.6075	99	41	0
80.1052	99	41	1
80.1052	99	163	0
80.1989	99	163	1
80.1989	99	24	0
80.2765	99	24	1
80.2765	99	117	0
80.2935	99	117	1
80.2935	99	33	0
80.5442	99	33	1
80.5442	99	139	0
80.8009	99	139	1
80.8009	99	10	0
81.2157	99	10	1
81.2157	99	81	0
81.3345	99	81	1
81.3345	99	25	0
82.2566	99	25	1
82.2566	99	110	0
82.3523	99	110	1
82.3523	99	16	0
83.0984	99	16	1
83.0984	99	101	0
83.1966	99	101	1
83.1966	99	9	0
83.2369	99	9	1
83.2369	99	78	0
83.5014	99	78	1
83.5014	99	7	0
83.5053	99	7	1
83.5053	99	81	0
83.6414	99	81	1
83.6414	99	57	0
83.7933	99	57	1
